Category,Layer,Index1,Index2,Value
Input,,,0,1
Input,,,1,1
Input,,,2,1
Input,,,3,1
Input,,,4,1
Input,,,5,1
Input,,,6,1
Input,,,7,1
Input,,,8,1
Input,,,9,1
Input,,,10,1
Input,,,11,1
Input,,,12,1
Input,,,13,1
Input,,,14,1
Input,,,15,1
Input,,,16,1
Input,,,17,1
Input,,,18,1
Input,,,19,1
Input,,,20,1
Input,,,21,1
Input,,,22,1
Input,,,23,1
Input,,,24,1
Input,,,25,1
Input,,,26,1
Input,,,27,1
Input,,,28,1
Input,,,29,1
Input,,,30,1
Input,,,31,1
Input,,,32,154.843
Input,,,33,190.401
Input,,,34,71.9759
Input,,,35,-0.0314139
Actor_z1,Layer1,0,,-26.8862
Actor_h1,Layer1,0,,0
Actor_z1,Layer1,1,,-73.7435
Actor_h1,Layer1,1,,0
Actor_z1,Layer1,2,,62.1942
Actor_h1,Layer1,2,,62.1942
Actor_z1,Layer1,3,,78.531
Actor_h1,Layer1,3,,78.531
Actor_z1,Layer1,4,,-58.7313
Actor_h1,Layer1,4,,0
Actor_z1,Layer1,5,,55.7961
Actor_h1,Layer1,5,,55.7961
Actor_z1,Layer1,6,,15.0148
Actor_h1,Layer1,6,,15.0148
Actor_z1,Layer1,7,,-14.3625
Actor_h1,Layer1,7,,0
Actor_z1,Layer1,8,,-66.6581
Actor_h1,Layer1,8,,0
Actor_z1,Layer1,9,,-71.2109
Actor_h1,Layer1,9,,0
Actor_z1,Layer1,10,,-61.2204
Actor_h1,Layer1,10,,0
Actor_z1,Layer1,11,,52.6791
Actor_h1,Layer1,11,,52.6791
Actor_z1,Layer1,12,,-56.1347
Actor_h1,Layer1,12,,0
Actor_z1,Layer1,13,,-16.0503
Actor_h1,Layer1,13,,0
Actor_z1,Layer1,14,,39.1245
Actor_h1,Layer1,14,,39.1245
Actor_z1,Layer1,15,,8.54981
Actor_h1,Layer1,15,,8.54981
Actor_z1,Layer1,16,,37.6435
Actor_h1,Layer1,16,,37.6435
Actor_z1,Layer1,17,,0.353058
Actor_h1,Layer1,17,,0.353058
Actor_z1,Layer1,18,,-33.6842
Actor_h1,Layer1,18,,0
Actor_z1,Layer1,19,,51.9821
Actor_h1,Layer1,19,,51.9821
Actor_z1,Layer1,20,,-8.3041
Actor_h1,Layer1,20,,0
Actor_z1,Layer1,21,,31.5524
Actor_h1,Layer1,21,,31.5524
Actor_z1,Layer1,22,,-44.1722
Actor_h1,Layer1,22,,0
Actor_z1,Layer1,23,,-81.3295
Actor_h1,Layer1,23,,0
Actor_z1,Layer1,24,,9.11558
Actor_h1,Layer1,24,,9.11558
Actor_z1,Layer1,25,,9.14248
Actor_h1,Layer1,25,,9.14248
Actor_z1,Layer1,26,,-46.0093
Actor_h1,Layer1,26,,0
Actor_z1,Layer1,27,,32.1533
Actor_h1,Layer1,27,,32.1533
Actor_z1,Layer1,28,,-64.2806
Actor_h1,Layer1,28,,0
Actor_z1,Layer1,29,,-32.5581
Actor_h1,Layer1,29,,0
Actor_z1,Layer1,30,,77.3796
